transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
1.0,84.47,22.0,Electronics,0.0,0.0,66.0,3.0,40.0,0.0
2.0,541.82,3.0,Travel,1.0,0.0,87.0,1.0,64.0,0.0
3.0,237.01,17.0,Grocery,0.0,0.0,49.0,1.0,61.0,0.0
249876.49791231734,164.33,4.0,Grocery,0.0,1.0,72.0,3.0,34.0,0.0
5.0,30.53,15.0,Food,0.0,0.0,79.0,0.0,44.0,0.0
6.0,30.53,13.0,Clothing,0.0,0.0,90.0,2.0,46.0,0.0
7.0,,18.0,Travel,0.0,0.0,48.0,1.0,28.0,0.0
8.0,362.02,13.0,Electronics,0.0,,68.0,1.0,40.0,0.0
9.0,165.43,8.0,Grocery,0.0,0.0,80.0,100.66462167689161,21.0,0.0
,221.63,5.0,Grocery,0.0,,,1.0,34.0,0.0
11.0,3.74,16.0,Grocery,4.923391215526047,0.0,58.0,2.0,,0.0
12.0,630.64,18.0,Clothing,0.0,0.0,30.0,,25.0,0.0
13.0,321.56,,Clothing,0.0,0.0,73.0,4.0,68.0,
14.0,42.96,3.0,Travel,0.0,0.0,,2.0,43.0,0.0
15.0,36.12,15.0,Electronics,0.0,0.0,37.0,2.0,69.0,0.0
16.0,36.47,10.0,Clothing,0.0,0.0,36.0,2.0,66.0,0.0
17.0,65.3,21.0,Food,0.0,0.0,35.0,1.0,25.0,0.0
18.0,133.91,3.0,Clothing,0.0,0.0,71.0,2.0,25.0,0.0
19.0,101.8,16.0,Grocery,1.0,0.0,84.0,3.0,24.0,0.0
20.0,61.96,7.0,Electronics,0.0,0.0,73.0,2.0,68.0,0.0
21.0,170.35,13.0,Travel,0.0,0.0,76.0,4.0,51.0,0.0
22.0,27.04,1.0,Clothing,0.0,0.0,85.0,1.0,49.0,0.0
23.0,62.19,10.0,Grocery,0.0,0.0,64.0,,30.0,0.0
24.0,82.13,10.0,Food,0.0,0.0,95.0,2.0,53.0,0.0
25.0,109.61,23.0,Food,0.0,0.0,99.0,2.0,35.0,0.0
26.0,276.83,21.0,Travel,1.0,0.0,77.0,3.0,30.0,0.0
error_transaction_id,40.09,23.0,,0.0,,85.0,,47.0,
28.0,129.97,5.0,Clothing,0.0,,46.0,1.0,18.0,0.0
error_transaction_id,161.55,20.0,Travel,0.0,0.0,62.0,3.0,52.0,0.0
30.0,8.56,20.0,Grocery,0.0,0.0,85.0,1.0,20.0,0.0
31.0,168.36,13.0,Grocery,0.0,0.0,71.0,,47.0,0.0
32.0,33.65,9.0,Grocery,0.0,0.0,51.0,2.0,65.0,0.0
33.0,12.11,7.0,Clothing,0.0,0.0,42.0,3.0,42.0,0.0
34.0,535.26,6.0,Clothing,0.0,0.0,44.0,7.0,50.0,0.0
35.0,error_amount,7.0,Travel,0.0,0.0,66.0,5.0,33.0,0.0
36.0,297.42,7.0,Clothing,0.0,0.0,65.0,2.0,66.0,0.0
37.0,65.39,22.0,Grocery,0.0,0.0,96.0,1.0,20.0,0.0
38.0,,1.0,Electronics,0.0,0.0,82.0,2.0,64.0,0.0
39.0,207.5,15.0,Grocery,0.0,0.0,64.0,,46.0,0.0
40.0,104.42,8.0,Electronics,0.0,,99.0,1.0,31.0,0.0
41.0,23.43,12.0,Travel,0.0,0.0,54.0,1.0,60.0,0.0
42.0,error_amount,22.0,,0.0,1.0,36.0,3.0,62.0,0.0
43.0,6.3,11.0,Clothing,0.0,0.0,86.0,3.0,22.0,0.0
44.0,432.08,21.0,Clothing,0.0,1.0,???###,0.0,61.0,0.0
45.0,53.9,16.0,Grocery,0.0,0.0,94.0,2.0,34.0,0.0
46.0,195.53,1.0,Grocery,0.0,0.0,39.0,3.0,46.0,0.0
